CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID PRICE
","ASK PRICE
","ASK QTY
","STRIKE PRICE
","BID QTY
","BID PRICE
","ASK PRICE
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,-,-,-,-,-,-,250,"5,054.15","5,147.60",250,"27,800.00","1,275",5.00,5.05,25,-3.00,5.00,59.41,"5,727",249,"1,767",
,-,-,-,-,-,-,500,"4,804.50","5,558.20",500,"27,900.00","5,000",3.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,25,"4,795.60","4,980.00",25,"28,000.00",125,5.35,5.40,750,-2.90,5.40,57.70,"19,720","1,675","5,018",
,-,-,-,-,-,-,"1,275","4,696.55","5,268.20",500,"28,100.00","2,500",4.35,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,275","4,594.95","5,069.90",500,"28,200.00","2,500",3.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,500,"4,419.30","5,023.10",500,"28,300.00","1,000",3.90,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,"1,275","4,410.50","4,829.10",500,"28,400.00",25,5.00,6.40,125,-454.35,6.45,54.40,86,25,25,
,1,1,1,-,"4,437.55","1,573.10",750,"4,286.30","4,482.25",500,"28,500.00",25,6.00,6.45,25,-3.70,6.45,53.27,"15,334",614,"3,096",
,-,-,-,-,-,-,"1,275","4,069.10","4,558.55",500,"28,600.00",200,6.00,-,-,-507.90,5.75,51.38,135,16,16,
,-,-,-,-,-,-,500,"4,077.95","4,455.15","1,275","28,700.00",125,6.15,7.40,25,-534.85,6.10,50.64,115,8,8,
,-,-,-,-,-,-,"1,275","3,957.40","4,353.40","1,275","28,800.00",300,6.60,-,-,-561.20,8.10,51.38,141,30,30,
,-,-,-,-,-,-,25,"3,885.30","4,259.20","1,275","28,900.00",275,6.60,8.55,25,-5.60,6.80,49.07,673,175,230,
,1,-,-,-,"3,334.70",-,500,"3,890.25","3,931.90",100,"29,000.00",75,7.70,8.95,100,-5.15,8.85,49.66,"46,235","3,259","9,528",
,-,-,-,-,-,-,"1,275","3,673.95","4,046.95","1,275","29,100.00",300,7.90,9.85,450,-649.15,10.60,49.75,"1,132",252,252,
,-,-,-,-,-,-,"1,275","3,587.85","3,942.85","1,275","29,200.00",75,7.90,10.95,225,-676.15,16.30,51.82,"2,707",356,356,
,-,-,-,-,-,-,"1,275","3,461.70","3,849.75",25,"29,300.00",25,8.55,10.45,250,-5.25,12.20,48.36,"3,273",367,508,
,-,-,-,-,-,-,25,"3,302.35","3,745.75",25,"29,400.00",25,9.20,10.60,250,-8.35,10.55,46.15,"3,615",212,295,
,-,-,-,-,"3,538.30",-,"1,275","3,353.30","3,476.80",25,"29,500.00",50,11.00,11.95,25,-9.20,11.95,45.80,"61,405","4,010","9,491",
,-,-,-,-,-,-,"1,275","3,177.70","3,517.40",25,"29,600.00",25,11.40,12.40,25,-8.00,12.40,44.85,"3,780",183,293,
,-,-,-,-,-,-,"1,300","3,133.65","3,399.85","1,275","29,700.00",25,13.00,15.00,150,-11.55,13.30,44.12,"6,190",339,529,
,-,-,-,-,-,-,25,"3,019.25","3,346.00",25,"29,800.00",75,14.50,15.00,150,-12.10,14.50,43.49,"6,287",264,590,
,1,1,1,-,"3,009.00",-432.20,"1,275","2,903.80","3,246.70","1,275","29,900.00",50,15.05,17.00,"2,750",-13.70,16.45,43.14,"9,663",971,"1,201",
,47,8,16,38.38,"2,955.00",48.80,375,"2,896.20","2,941.75","1,350","30,000.00",150,18.20,18.30,"3,650",-15.40,18.30,42.65,"1,22,775","7,345","20,533",
,4,2,8,46.22,"2,879.00",599.30,25,"2,727.30","2,995.55",50,"30,100.00",50,20.00,20.40,25,-16.60,20.15,42.08,"11,913",246,678,
,-,-,-,-,-,-,"1,275","2,663.30","2,791.90",25,"30,200.00",25,22.25,23.00,25,-15.30,25.00,42.43,"15,591",635,"1,454",
,-,-,-,-,-,-,"1,275","2,565.70","2,696.95",25,"30,300.00",25,24.65,26.00,250,-19.60,25.05,41.12,"13,679",759,"1,127",
,-,-,-,-,-,-,"1,275","2,466.15","2,597.70",25,"30,400.00",100,25.15,29.60,25,-21.20,28.15,40.70,"11,354",222,801,
,69,10,303,36.89,"2,466.30",81.30,500,"2,418.70","2,445.35",25,"30,500.00",25,31.85,33.20,75,-22.60,32.00,40.37,"1,28,044","8,223","14,956",
,1,-,2,30.39,"2,354.10",-95.95,250,"2,291.75","2,400.10",25,"30,600.00",25,34.55,37.40,25,-22.85,37.00,40.20,"14,376",740,"1,036",
,-,-,-,-,"2,358.40",-,"1,275","2,180.60","2,309.80",25,"30,700.00",25,39.55,41.85,25,-23.95,42.50,39.99,"20,018","1,856","2,324",
,2,-,-,-,"2,267.95",-,"1,275","2,085.25","2,214.50",25,"30,800.00",25,44.00,46.85,25,-29.40,44.20,38.89,"27,301","1,240","2,042",
,4,-,-,-,"2,177.75",-,"1,275","1,991.50","2,125.75",25,"30,900.00",50,50.00,52.70,25,-28.60,51.40,38.80,"28,585","1,297","1,753",
,382,-58,749,34.12,"1,982.00",42.90,125,"1,947.65","1,991.85",25,"31,000.00",125,58.25,59.00,25,-31.80,58.25,38.48,"2,13,244","14,605","26,390",
,15,2,12,-,"1,841.15",-5.60,250,"1,841.15","1,934.25",75,"31,100.00",25,63.00,71.95,25,-28.45,72.00,39.09,"30,477","1,662","2,738",
,17,8,25,31.34,"1,782.60",-6.40,375,"1,736.00","1,838.50",125,"31,200.00",50,70.00,74.35,25,-36.45,74.40,37.83,"32,608",943,"1,609",
,19,-1,3,-,"1,600.00",-53.80,125,"1,647.40","1,749.15",75,"31,300.00",150,80.00,82.00,25,-41.90,80.00,36.98,"34,447",774,"1,611",
,15,3,19,31.53,"1,600.85",50.85,250,"1,568.50","1,629.00",125,"31,400.00",75,91.00,93.00,25,-43.35,91.00,36.74,"41,230","2,287","2,882",
,301,11,491,31.24,"1,509.60",23.85,500,"1,495.25","1,525.15",125,"31,500.00",200,102.00,104.00,125,-44.85,103.00,36.46,"2,28,299","10,712","20,999",
,20,-5,25,33.92,"1,443.95",17.65,125,"1,402.00","1,475.70",125,"31,600.00",25,113.05,117.40,25,-51.45,114.60,35.99,"41,140","1,148","2,717",
,33,-,20,30.90,"1,333.00",-27.50,250,"1,301.95","1,377.85",175,"31,700.00",25,127.00,128.00,50,-51.30,130.00,35.78,"53,851","2,144","3,030",
,62,-4,70,34.71,"1,286.30",55.15,250,"1,215.00","1,312.25",100,"31,800.00",175,141.00,146.45,25,-54.10,146.00,35.46,"45,582","1,507","2,966",
,74,-18,101,31.69,"1,174.90",-22.75,125,"1,144.40","1,198.40",50,"31,900.00",750,153.15,159.00,175,-65.80,155.00,34.35,"39,491","1,857","2,729",
,"2,253",211,"6,286",29.59,"1,073.05",-8.50,25,"1,075.10","1,088.60",25,"32,000.00",50,177.80,178.00,900,-64.95,178.00,34.37,"4,10,078","10,268","27,788",
,162,73,419,31.37,"1,015.45",-6.45,25,988.45,"1,018.90",25,"32,100.00",100,193.55,201.00,100,-71.25,201.00,34.19,"47,775",207,"2,561",
,153,-23,962,30.30,928.10,-18.95,125,918.80,940.05,25,"32,200.00",575,222.60,226.20,25,-74.15,222.60,33.73,"79,278","1,792","4,084",
,189,-13,"1,471",31.64,873.65,4.35,250,850.00,866.35,25,"32,300.00",200,248.00,250.00,25,-75.45,254.00,33.83,"81,224","2,444","4,272",
,262,6,"2,988",29.96,782.40,-24.00,75,773.80,797.40,50,"32,400.00",50,278.00,280.00,100,-82.30,280.00,33.34,"73,893",826,"2,377",
,"5,156",776,"58,335",29.52,710.00,-33.10,50,711.95,726.85,25,"32,500.00",175,308.00,311.00,25,-83.60,308.00,32.82,"5,04,768","7,049","19,130",
,"1,172",489,"13,246",29.04,640.05,-36.70,25,640.00,655.00,25,"32,600.00",100,340.45,343.00,200,-90.20,341.00,32.47,"2,18,895","2,266","4,665",
,"2,310",203,"31,916",29.03,580.05,-42.40,50,580.00,597.50,125,"32,700.00",25,375.00,380.00,"1,550",-94.30,380.00,32.32,"2,51,112","2,705","5,532",
,"5,975",497,"1,18,603",29.51,530.95,-34.65,25,516.50,530.95,200,"32,800.00",75,418.00,423.95,75,-87.15,423.90,32.29,"3,44,479","2,556","8,527",
